22: Patient816630551_study_0, CG Dice=0.3598, PZ Dice=0.0489, prostate Dice=0.8001, CG Dist=13.2759, PZ Dist=8.9022, prostate Dist=2.0000
23: Patient975631273_study_0, CG Dice=0.3121, PZ Dice=0.1223, prostate Dice=0.7303, CG Dist=8.3666, PZ Dist=6.8007, prostate Dist=5.1235
24: Patient874087940_study_0, CG Dice=0.0211, PZ Dice=0.6063, prostate Dice=0.6537, CG Dist=22.2823, PZ Dist=3.0822, prostate Dist=13.8022
25: Patient999341630_study_0, CG Dice=0.2025, PZ Dice=0.1525, prostate Dice=0.6265, CG Dist=24.2745, PZ Dist=8.8218, prostate Dist=11.0454
26: Patient989997499_study_0, CG Dice=0.3857, PZ Dice=0.1745, prostate Dice=0.8174, CG Dist=5.2202, PZ Dist=5.4083, prostate Dist=1.8028
27: Patient850564213_study_0, CG Dice=0.1813, PZ Dice=0.0046, prostate Dice=0.5914, CG Dist=12.4599, PZ Dist=10.7819, prostate Dist=6.4807
28: Patient858552566_study_0, CG Dice=0.6674, PZ Dice=0.0551, prostate Dice=0.7890, CG Dist=4.1231, PZ Dist=8.8034, prostate Dist=3.6056
29: Patient797475060_study_0, CG Dice=0.8190, PZ Dice=0.2420, prostate Dice=0.8549, CG Dist=2.0616, PZ Dist=4.6368, prostate Dist=1.7321
30: Patient929874313_study_0, CG Dice=0.5476, PZ Dice=0.1082, prostate Dice=0.8198, CG Dist=5.0249, PZ Dist=7.5498, prostate Dist=2.0616
31: Patient953755708_study_0, CG Dice=0.5881, PZ Dice=0.0873, prostate Dice=0.8305, CG Dist=8.2614, PZ Dist=7.2284, prostate Dist=2.0616
32: Patient917627230_study_0, CG Dice=0.5910, PZ Dice=0.1329, prostate Dice=0.8864, CG Dist=4.5826, PZ Dist=8.4410, prostate Dist=1.1180
33: Patient994800837_study_0, CG Dice=0.7038, PZ Dice=0.1520, prostate Dice=0.8653, CG Dist=3.6401, PZ Dist=7.8262, prostate Dist=1.4142
34: Patient870474535_study_0, CG Dice=0.5194, PZ Dice=0.1825, prostate Dice=0.8200, CG Dist=8.0000, PZ Dist=5.6789, prostate Dist=2.2913
35: Patient931730120_study_0, CG Dice=0.5798, PZ Dice=0.2047, prostate Dice=0.8450, CG Dist=4.0000, PZ Dist=4.8477, prostate Dist=1.4142
36: Patient908092997_study_0, CG Dice=0.0936, PZ Dice=0.5250, prostate Dice=0.4367, CG Dist=24.3156, PZ Dist=2.2361, prostate Dist=15.8114
37: Patient890113667_study_0, CG Dice=0.4748, PZ Dice=0.0579, prostate Dice=0.7033, CG Dist=13.0096, PZ Dist=10.4043, prostate Dist=5.9161
38: Patient873305257_study_0, CG Dice=0.4759, PZ Dice=0.0098, prostate Dice=0.6964, CG Dist=6.0000, PZ Dist=11.7473, prostate Dist=3.9051
39: Patient968013665_study_0, CG Dice=0.5378, PZ Dice=0.0969, prostate Dice=0.8249, CG Dist=6.1033, PZ Dist=7.2457, prostate Dist=2.0616
40: Patient881613793_study_0, CG Dice=0.3225, PZ Dice=0.2102, prostate Dice=0.7534, CG Dist=10.0125, PZ Dist=6.1033, prostate Dist=2.5000
41: Patient985762726_study_0, CG Dice=0.5654, PZ Dice=0.2713, prostate Dice=0.8553, CG Dist=3.9370, PZ Dist=4.5000, prostate Dist=1.1180
42: Patient954554801_study_0, CG Dice=0.2338, PZ Dice=0.1817, prostate Dice=0.6526, CG Dist=15.4353, PZ Dist=8.5586, prostate Dist=11.5109
43: Patient841484403_study_0, CG Dice=0.3150, PZ Dice=0.0822, prostate Dice=0.7628, CG Dist=14.0000, PZ Dist=7.4833, prostate Dist=2.9155
